Mes,Localidad,Cantidad,Actividad,Canalizadas a las areas de:
Octubre,ZIMAPANITO,,PERSONAS ATENDIDAS POR LOCALIDAD,
Octubre,PUERTO DEL TAMBOR,,PERSONAS ATENDIDAS POR LOCALIDAD,
Octubre,CABECERA MPAL,8,PERSONAS ATENDIDAS POR LOCALIDAD,
Diciembre,,,CANALIZACIÓNES A DIFERENTES AREAS,ARCHIVO MUNICIPAL
Diciembre,,13,CANALIZACIÓNES A DIFERENTES AREAS,LICENCIAS Y REGLAMENTOS
Diciembre,,,CANALIZACIÓNES A DIFERENTES AREAS,ADMINITRACIÓN
Diciembre,,,CANALIZACIÓNES A DIFERENTES AREAS,PLANEACIÓN
Diciembre,,38,CANALIZACIÓNES A DIFERENTES AREAS,DESARROLLO SOCIAL
Diciembre,,5,CANALIZACIÓNES A DIFERENTES AREAS,PUEBLOS INDIGENAS
Diciembre,,,CANALIZACIÓNES A DIFERENTES AREAS,TRANSPARENCIA
Diciembre,,9,CANALIZACIÓNES A DIFERENTES AREAS,ECOLOGÍA
Diciembre,,2,CANALIZACIÓNES A DIFERENTES AREAS,TURISMO
Diciembre,,,CANALIZACIÓNES A DIFERENTES AREAS,COMUNICACIÓN SOCIAL
Diciembre,,,CANALIZACIÓNES A DIFERENTES AREAS,ARTE Y CULTURA
Diciembre,,,CANALIZACIÓNES A DIFERENTES AREAS,EVENTOS ESPECIALES
Diciembre,,1,CANALIZACIÓNES A DIFERENTES AREAS,BIBLIOTECAS
Diciembre,,18,CANALIZACIÓNES A DIFERENTES AREAS,DESARROLLO RURAL
Diciembre,,2,CANALIZACIÓNES A DIFERENTES AREAS,OBRAS PÚBLICAS
Diciembre,,1,CANALIZACIÓNES A DIFERENTES AREAS,CATASTRO
Diciembre,,,CANALIZACIÓNES A DIFERENTES AREAS,ORGANO INTERNO DE CONTROL
Diciembre,,25,CANALIZACIÓNES A DIFERENTES AREAS,SECRETARIA GENERAL
Diciembre,,90,CANALIZACIÓNES A DIFERENTES AREAS,PRESIDENCIA
Diciembre,,8,CANALIZACIÓNES A DIFERENTES AREAS,JURIDICO MUNICIPAL
Diciembre,,5,CANALIZACIÓNES A DIFERENTES AREAS,COMUDE
Diciembre,,10,CANALIZACIÓNES A DIFERENTES AREAS,SERVICIOS PUBLICOS
Diciembre,,,CANALIZACIÓNES A DIFERENTES AREAS,OFICIALIA MAYOR
Diciembre,,10,CANALIZACIÓNES A DIFERENTES AREAS,SEGURIDAD PUBLICA
Diciembre,,,CANALIZACIÓNES A DIFERENTES AREAS,TRASLADOS
Diciembre,,10,CANALIZACIÓNES A DIFERENTES AREAS,CONCILIACION
Diciembre,,15,CANALIZACIÓNES A DIFERENTES AREAS,TESORERIA
Diciembre,,,CANALIZACIÓNES A DIFERENTES AREAS,RECAUDACIÓN
Diciembre,,25,CANALIZACIÓNES A DIFERENTES AREAS,REGISTRO DEL ESTADO FAMILIAR
Diciembre,,2,CANALIZACIÓNES A DIFERENTES AREAS,DIF
Diciembre,,,CANALIZACIÓNES A DIFERENTES AREAS,UBR
Enero,,,CANALIZACIÓNES A DIFERENTES AREAS,ARCHIVO MUNICIPAL
Enero,,33,CANALIZACIÓNES A DIFERENTES AREAS,LICENCIAS Y REGLAMENTOS
Enero,,,CANALIZACIÓNES A DIFERENTES AREAS,ADMINITRACIÓN
Enero,,,CANALIZACIÓNES A DIFERENTES AREAS,PLANEACIÓN
Enero,,61,CANALIZACIÓNES A DIFERENTES AREAS,DESARROLLO SOCIAL
Enero,,10,CANALIZACIÓNES A DIFERENTES AREAS,PUEBLOS INDIGENAS
Enero,,,CANALIZACIÓNES A DIFERENTES AREAS,TRANSPARENCIA
Enero,,20,CANALIZACIÓNES A DIFERENTES AREAS,ECOLOGÍA
Enero,,12,CANALIZACIÓNES A DIFERENTES AREAS,TURISMO
Enero,,2,CANALIZACIÓNES A DIFERENTES AREAS,COMUNICACIÓN SOCIAL
Enero,,12,CANALIZACIÓNES A DIFERENTES AREAS,ARTE Y CULTURA
Enero,,1,CANALIZACIÓNES A DIFERENTES AREAS,EVENTOS ESPECIALES
Enero,,8,CANALIZACIÓNES A DIFERENTES AREAS,BIBLIOTECAS
Enero,,22,CANALIZACIÓNES A DIFERENTES AREAS,DESARROLLO RURAL
Enero,,5,CANALIZACIÓNES A DIFERENTES AREAS,OBRAS PÚBLICAS
Enero,,15,CANALIZACIÓNES A DIFERENTES AREAS,CATASTRO
Enero,,1,CANALIZACIÓNES A DIFERENTES AREAS,ORGANO INTERNO DE CONTROL
Enero,,12,CANALIZACIÓNES A DIFERENTES AREAS,SECRETARIA GENERAL
Enero,,95,CANALIZACIÓNES A DIFERENTES AREAS,PRESIDENCIA
Enero,,18,CANALIZACIÓNES A DIFERENTES AREAS,JURIDICO MUNICIPAL
Enero,,6,CANALIZACIÓNES A DIFERENTES AREAS,COMUDE
Enero,,14,CANALIZACIÓNES A DIFERENTES AREAS,SERVICIOS PUBLICOS
Enero,,21,CANALIZACIÓNES A DIFERENTES AREAS,OFICIALIA MAYOR
Enero,,10,CANALIZACIÓNES A DIFERENTES AREAS,SEGURIDAD PUBLICA
Enero,,9,CANALIZACIÓNES A DIFERENTES AREAS,TRASLADOS
Enero,,10,CANALIZACIÓNES A DIFERENTES AREAS,CONCILIACION
Enero,,11,CANALIZACIÓNES A DIFERENTES AREAS,TESORERIA
Enero,,,CANALIZACIÓNES A DIFERENTES AREAS,RECAUDACIÓN
Enero,,51,CANALIZACIÓNES A DIFERENTES AREAS,REGISTRO DEL ESTADO FAMILIAR
Enero,,5,CANALIZACIÓNES A DIFERENTES AREAS,DIF
Enero,,,CANALIZACIÓNES A DIFERENTES AREAS,UBR
Febrero,,1,CANALIZACIÓNES A DIFERENTES AREAS,ARCHIVO MUNICIPAL
Febrero,,19,CANALIZACIÓNES A DIFERENTES AREAS,LICENCIAS Y REGLAMENTOS
Febrero,,,CANALIZACIÓNES A DIFERENTES AREAS,ADMINITRACIÓN
Febrero,,,CANALIZACIÓNES A DIFERENTES AREAS,PLANEACIÓN
Febrero,,35,CANALIZACIÓNES A DIFERENTES AREAS,DESARROLLO SOCIAL
Febrero,,5,CANALIZACIÓNES A DIFERENTES AREAS,PUEBLOS INDIGENAS
Febrero,,,CANALIZACIÓNES A DIFERENTES AREAS,TRANSPARENCIA
Febrero,,17,CANALIZACIÓNES A DIFERENTES AREAS,ECOLOGÍA
Febrero,,10,CANALIZACIÓNES A DIFERENTES AREAS,TURISMO
Febrero,,,CANALIZACIÓNES A DIFERENTES AREAS,COMUNICACIÓN SOCIAL
Febrero,,10,CANALIZACIÓNES A DIFERENTES AREAS,ARTE Y CULTURA
Febrero,,,CANALIZACIÓNES A DIFERENTES AREAS,EVENTOS ESPECIALES
Febrero,,3,CANALIZACIÓNES A DIFERENTES AREAS,BIBLIOTECAS
Febrero,,12,CANALIZACIÓNES A DIFERENTES AREAS,DESARROLLO RURAL
Febrero,,14,CANALIZACIÓNES A DIFERENTES AREAS,OBRAS PÚBLICAS
Febrero,,10,CANALIZACIÓNES A DIFERENTES AREAS,CATASTRO
Febrero,,0,CANALIZACIÓNES A DIFERENTES AREAS,ORGANO INTERNO DE CONTROL
Febrero,,15,CANALIZACIÓNES A DIFERENTES AREAS,SECRETARIA GENERAL
Febrero,,98,CANALIZACIÓNES A DIFERENTES AREAS,PRESIDENCIA
Febrero,,22,CANALIZACIÓNES A DIFERENTES AREAS,JURIDICO MUNICIPAL
Febrero,,5,CANALIZACIÓNES A DIFERENTES AREAS,COMUDE
Febrero,,20,CANALIZACIÓNES A DIFERENTES AREAS,SERVICIOS PUBLICOS
Febrero,,18,CANALIZACIÓNES A DIFERENTES AREAS,OFICIALIA MAYOR
Febrero,,6,CANALIZACIÓNES A DIFERENTES AREAS,SEGURIDAD PUBLICA
Febrero,,5,CANALIZACIÓNES A DIFERENTES AREAS,TRASLADOS
Febrero,,8,CANALIZACIÓNES A DIFERENTES AREAS,CONCILIACION
Febrero,,3,CANALIZACIÓNES A DIFERENTES AREAS,TESORERIA
Febrero,,1774,CANALIZACIÓNES A DIFERENTES AREAS,RECAUDACIÓN
Febrero,,,CANALIZACIÓNES A DIFERENTES AREAS,REGISTRO DEL ESTADO FAMILIAR
Febrero,,18,CANALIZACIÓNES A DIFERENTES AREAS,DIF
Febrero,,,CANALIZACIÓNES A DIFERENTES AREAS,UBR
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,ARCHIVO MUNICIPAL
septiembre,,5,CANALIZACIÓNES A DIFERENTES AREAS,LICENCIAS Y REGLAMENTOS
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,ADMINITRACIÓN
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,PLANEACIÓN
septiembre,,10,CANALIZACIÓNES A DIFERENTES AREAS,DESARROLLO SOCIAL
septiembre,,2,CANALIZACIÓNES A DIFERENTES AREAS,PUEBLOS INDIGENAS
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,TRANSPARENCIA
septiembre,,7,CANALIZACIÓNES A DIFERENTES AREAS,ECOLOGÍA
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,TURISMO
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,COMUNICACIÓN SOCIAL
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,ARTE Y CULTURA
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,EVENTOS ESPECIALES
septiembre,,2,CANALIZACIÓNES A DIFERENTES AREAS,BIBLIOTECAS
septiembre,,4,CANALIZACIÓNES A DIFERENTES AREAS,DESARROLLO RURAL
septiembre,,3,CANALIZACIÓNES A DIFERENTES AREAS,OBRAS PÚBLICAS
septiembre,,5,CANALIZACIÓNES A DIFERENTES AREAS,CATASTRO
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,ORGANO INTERNO DE CONTROL
septiembre,,15,CANALIZACIÓNES A DIFERENTES AREAS,SECRETARIA GENERAL
septiembre,,94,CANALIZACIÓNES A DIFERENTES AREAS,PRESIDENCIA
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,JURIDICO MUNICIPAL
septiembre,,2,CANALIZACIÓNES A DIFERENTES AREAS,COMUDE
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,SERVICIOS PUBLICOS
septiembre,,1,CANALIZACIÓNES A DIFERENTES AREAS,OFICIALIA MAYOR
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,SEGURIDAD PUBLICA
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,TRASLADOS
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,CONCILIACION
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,TESORERIA
septiembre,,820,CANALIZACIÓNES A DIFERENTES AREAS,RECAUDACIÓN
septiembre,,851,CANALIZACIÓNES A DIFERENTES AREAS,REGISTRO DEL ESTADO FAMILIAR
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,DIF
septiembre,,,CANALIZACIÓNES A DIFERENTES AREAS,UBR
Noviembre,,,CANALIZACIÓNES A DIFERENTES AREAS,ARCHIVO MUNICIPAL
Noviembre,,10,CANALIZACIÓNES A DIFERENTES AREAS,LICENCIAS Y REGLAMENTOS
Noviembre,,,CANALIZACIÓNES A DIFERENTES AREAS,ADMINITRACIÓN
Noviembre,,,CANALIZACIÓNES A DIFERENTES AREAS,PLANEACIÓN
Noviembre,,200,CANALIZACIÓNES A DIFERENTES AREAS,DESARROLLO SOCIAL
Noviembre,,,CANALIZACIÓNES A DIFERENTES AREAS,PUEBLOS INDIGENAS
Noviembre,,,CANALIZACIÓNES A DIFERENTES AREAS,TRANSPARENCIA
Noviembre,,8,CANALIZACIÓNES A DIFERENTES AREAS,ECOLOGÍA
Noviembre,,5,CANALIZACIÓNES A DIFERENTES AREAS,TURISMO
Noviembre,,,CANALIZACIÓNES A DIFERENTES AREAS,COMUNICACIÓN SOCIAL
Noviembre,,,CANALIZACIÓNES A DIFERENTES AREAS,ARTE Y CULTURA
Noviembre,,,CANALIZACIÓNES A DIFERENTES AREAS,EVENTOS ESPECIALES
Noviembre,,2,CANALIZACIÓNES A DIFERENTES AREAS,BIBLIOTECAS
Noviembre,,22,CANALIZACIÓNES A DIFERENTES AREAS,DESARROLLO RURAL
Noviembre,,4,CANALIZACIÓNES A DIFERENTES AREAS,OBRAS PÚBLICAS
Noviembre,,3,CANALIZACIÓNES A DIFERENTES AREAS,CATASTRO
Noviembre,,1,CANALIZACIÓNES A DIFERENTES AREAS,ORGANO INTERNO DE CONTROL
Noviembre,,22,CANALIZACIÓNES A DIFERENTES AREAS,SECRETARIA GENERAL
Noviembre,,103,CANALIZACIÓNES A DIFERENTES AREAS,PRESIDENCIA
Noviembre,,15,CANALIZACIÓNES A DIFERENTES AREAS,JURIDICO MUNICIPAL
Noviembre,,3,CANALIZACIÓNES A DIFERENTES AREAS,COMUDE
Noviembre,,28,CANALIZACIÓNES A DIFERENTES AREAS,SERVICIOS PUBLICOS
Noviembre,,4,CANALIZACIÓNES A DIFERENTES AREAS,OFICIALIA MAYOR
Noviembre,,,CANALIZACIÓNES A DIFERENTES AREAS,SEGURIDAD PUBLICA
Noviembre,,,CANALIZACIÓNES A DIFERENTES AREAS,TRASLADOS
Noviembre,,6,CANALIZACIÓNES A DIFERENTES AREAS,CONCILIACION
Noviembre,,,CANALIZACIÓNES A DIFERENTES AREAS,TESORERIA
Noviembre,,813,CANALIZACIÓNES A DIFERENTES AREAS,RECAUDACIÓN
Noviembre,,,CANALIZACIÓNES A DIFERENTES AREAS,REGISTRO DEL ESTADO FAMILIAR
Noviembre,,,CANALIZACIÓNES A DIFERENTES AREAS,DIF
Noviembre,,,CANALIZACIÓNES A DIFERENTES AREAS,UBR
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,ARCHIVO MUNICIPAL
Octubre,,1,CANALIZACIÓNES A DIFERENTES AREAS,LICENCIAS Y REGLAMENTOS
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,ADMINITRACIÓN
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,PLANEACIÓN
Octubre,,3,CANALIZACIÓNES A DIFERENTES AREAS,DESARROLLO SOCIAL
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,PUEBLOS INDIGENAS
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,TRANSPARENCIA
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,ECOLOGÍA
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,TURISMO
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,COMUNICACIÓN SOCIAL
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,ARTE Y CULTURA
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,EVENTOS ESPECIALES
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,BIBLIOTECAS
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,DESARROLLO RURAL
Octubre,,2,CANALIZACIÓNES A DIFERENTES AREAS,OBRAS PÚBLICAS
Octubre,,1,CANALIZACIÓNES A DIFERENTES AREAS,CATASTRO
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,ORGANO INTERNO DE CONTROL
Octubre,,5,CANALIZACIÓNES A DIFERENTES AREAS,SECRETARIA GENERAL
Octubre,,12,CANALIZACIÓNES A DIFERENTES AREAS,PRESIDENCIA
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,JURIDICO MUNICIPAL
Octubre,,2,CANALIZACIÓNES A DIFERENTES AREAS,COMUDE
Octubre,,10,CANALIZACIÓNES A DIFERENTES AREAS,SERVICIOS PUBLICOS
Octubre,,5,CANALIZACIÓNES A DIFERENTES AREAS,OFICIALIA MAYOR
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,SEGURIDAD PUBLICA
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,TRASLADOS
Octubre,,1,CANALIZACIÓNES A DIFERENTES AREAS,CONCILIACION
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,TESORERIA
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,RECAUDACIÓN
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,REGISTRO DEL ESTADO FAMILIAR
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,DIF
Octubre,,,CANALIZACIÓNES A DIFERENTES AREAS,UBR
